,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,Total AandE Attends,label_with_sum,label_with_sum_categorical
0,710.0,495.0,215.0,950.0,1104,935.2,1287.0,2,grp_2
1,8005.0,7170.0,835.0,5415.0,8246,7486.1,20963.0,0,grp_0
2,4765.0,3760.0,1005.0,6210.0,11743,10853.61,14693.0,0,grp_0
3,40.0,40.0,0.0,0.0,1287,1091.21,4565.0,2,grp_2
4,3880.0,3475.0,405.0,5370.0,6534,5845.72,13285.0,1,grp_1
6,8420.0,7605.0,815.0,7460.0,11560,10069.73,22250.0,0,grp_0
8,80.0,0.0,80.0,0.0,2377,1935.53,1089.0,2,grp_2
11,2535.0,2225.0,310.0,2555.0,4103,3563.56,6973.0,2,grp_2
13,12435.0,11070.0,1365.0,9510.0,15779,14067.91,28734.0,3,grp_3
14,4920.0,4630.0,290.0,2490.0,3993,3504.24,11921.0,1,grp_1
15,2445.0,2335.0,110.0,465.0,1765,1570.74,1274.0,2,grp_2
16,6205.0,5345.0,860.0,7575.0,9095,7963.15,17215.0,0,grp_0
17,6245.0,5820.0,425.0,4585.0,7171,6438.05,15092.0,1,grp_1
19,3035.0,2785.0,250.0,1900.0,3796,3459.36,9229.0,2,grp_2
20,285.0,200.0,85.0,2850.0,2356,2133.23,5526.0,2,grp_2
21,3605.0,3360.0,245.0,2380.0,3854,3391.36,6401.0,2,grp_2
22,4890.0,4430.0,460.0,2485.0,5374,4878.46,13701.0,1,grp_1
23,110.0,60.0,50.0,0.0,2383,2056.98,6806.0,2,grp_2
24,3350.0,3065.0,285.0,2135.0,5030,4368.32,6887.0,2,grp_2
25,6765.0,6085.0,680.0,4065.0,7821,7255.69,25683.0,0,grp_0
26,1005.0,910.0,95.0,880.0,2663,2249.85,3610.0,2,grp_2
27,10045.0,8580.0,1465.0,6365.0,18197,17053.19,39378.0,3,grp_3
28,2445.0,2220.0,225.0,1545.0,2768,2408.9,6928.0,2,grp_2
29,8475.0,7360.0,1115.0,4300.0,6759,6303.28,26535.0,0,grp_0
30,2380.0,2140.0,240.0,2295.0,4277,3944.87,15584.0,1,grp_1
31,3340.0,2740.0,600.0,2990.0,6938,6192.4,11713.0,1,grp_1
32,8065.0,5080.0,2985.0,7365.0,22686,21277.35,16156.0,3,grp_3
33,3665.0,3510.0,155.0,1960.0,4111,3744.18,9576.0,2,grp_2
34,125.0,90.0,35.0,0.0,3314,2944.3,781.0,2,grp_2
35,8160.0,6680.0,1480.0,8445.0,13657,12916.18,20376.0,0,grp_0
36,2425.0,2260.0,165.0,1705.0,3427,3016.77,9149.0,2,grp_2
37,7305.0,6060.0,1245.0,7695.0,14063,13165.5,21827.0,0,grp_0
39,4230.0,4015.0,215.0,1820.0,3703,3378.93,8951.0,2,grp_2
40,2690.0,2535.0,155.0,2710.0,3577,3084.3,5227.0,2,grp_2
41,6685.0,6325.0,360.0,3885.0,7222,6637.77,23576.0,0,grp_0
42,3080.0,2800.0,280.0,1930.0,3591,3278.77,11294.0,2,grp_2
43,8955.0,8145.0,810.0,5990.0,8234,7752.52,24097.0,0,grp_0
44,2545.0,2320.0,225.0,2560.0,3739,3206.46,5234.0,2,grp_2
45,730.0,290.0,440.0,10.0,6855,6138.97,1879.0,2,grp_2
46,2515.0,2390.0,125.0,2850.0,3806,3534.79,15194.0,1,grp_1
47,7285.0,6465.0,820.0,5520.0,11480,10757.59,23019.0,0,grp_0
48,4990.0,4100.0,890.0,3830.0,9644,9134.17,10951.0,1,grp_1
49,835.0,500.0,335.0,1225.0,3910,3291.22,4931.0,2,grp_2
50,1550.0,1435.0,115.0,1590.0,4000,3600.62,5141.0,2,grp_2
51,5905.0,3015.0,2890.0,9035.0,10623,9926.21,11823.0,1,grp_1
52,1810.0,1575.0,235.0,1780.0,4628,4227.87,7891.0,2,grp_2
53,4385.0,3805.0,580.0,3270.0,4187,3754.98,13860.0,1,grp_1
54,4545.0,4225.0,320.0,2260.0,4220,3603.9,7356.0,2,grp_2
55,2825.0,2265.0,560.0,1805.0,6105,5440.34,4788.0,2,grp_2
56,1580.0,1210.0,370.0,1640.0,4256,3796.37,5016.0,2,grp_2
57,3900.0,3635.0,265.0,2285.0,4257,3690.75,7405.0,2,grp_2
58,115.0,85.0,30.0,150.0,4437,3620.26,7682.0,2,grp_2
59,3480.0,3305.0,175.0,1315.0,4327,3780.54,9446.0,2,grp_2
60,3945.0,3620.0,325.0,3345.0,4759,4211.04,8082.0,2,grp_2
61,3335.0,3080.0,255.0,2055.0,4470,3898.7,9045.0,2,grp_2
62,5155.0,4700.0,455.0,3305.0,4572,4164.37,8216.0,2,grp_2
64,6275.0,5670.0,605.0,3710.0,5661,5020.56,10664.0,1,grp_1
65,11215.0,9655.0,1560.0,9185.0,18271,16316.55,16538.0,3,grp_3
66,3280.0,3025.0,255.0,2300.0,4823,4270.61,6191.0,2,grp_2
67,3875.0,3460.0,415.0,2265.0,4824,4063.9,6840.0,2,grp_2
68,4430.0,3850.0,580.0,2355.0,4832,4320.85,5827.0,2,grp_2
69,5130.0,4585.0,545.0,3180.0,7565,6715.03,23574.0,0,grp_0
70,4240.0,3895.0,345.0,1960.0,4844,4426.2,14516.0,1,grp_1
71,4930.0,4590.0,340.0,3435.0,5755,4956.72,13679.0,1,grp_1
72,80.0,30.0,50.0,0.0,4855,4244.44,1302.0,2,grp_2
73,5280.0,4915.0,365.0,2430.0,4966,4309.48,10190.0,1,grp_1
74,5400.0,5035.0,365.0,3460.0,5003,4473.59,8977.0,1,grp_1
75,3315.0,3045.0,270.0,2835.0,5182,4455.44,6763.0,2,grp_2
76,2250.0,2045.0,205.0,2360.0,5018,4229.59,4699.0,2,grp_2
77,5385.0,4980.0,405.0,3470.0,5947,5289.09,14575.0,1,grp_1
78,2955.0,2705.0,250.0,2345.0,5204,4617.83,8014.0,2,grp_2
79,8220.0,7660.0,560.0,4925.0,10938,9615.17,18501.0,0,grp_0
80,195.0,195.0,0.0,0.0,5204,4435.71,8143.0,2,grp_2
