Org_Code,Effective_Snapshot_Date,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE
RPC,28/2/2023,495,215,710,950,1104,935.19925
RRJ,28/2/2023,20,520,540,565,1236,1099.1144
RY9,28/2/2023,40,0,40,0,1287,1091.21455
RY2,28/2/2023,0,0,-,0,1492,1248.99218
RET,28/2/2023,165,275,440,915,1554,1410.01618
R1D,28/2/2023,105,NULL,105,40,1586,1280.17996
RAN,28/2/2023,35,455,490,760,1619,1492.91219
RL1,28/2/2023,50,515,565,455,1646,1396.3662
REN,28/2/2023,110,75,185,265,1765,1628.99605
REP,28/2/2023,2335,110,"2,445",465,1765,1570.74333
RLY,28/2/2023,35,65,100,NULL,1828,1623.69665
RBQ,28/2/2023,395,330,725,360,1942,1787.68813
RGM,28/2/2023,360,490,850,815,2000,1856.07068
RP6,28/2/2023,200,85,285,2850,2356,2133.23117
RY4,28/2/2023,0,80,80,0,2377,1935.53077
RY5,28/2/2023,60,50,110,0,2383,2056.98375
RY3,28/2/2023,135,65,200,0,2445,2131.34722
RJN,28/2/2023,910,95,"1,005",880,2663,2249.84916
RLT,28/2/2023,2220,225,"2,445",1545,2768,2408.90186
RQY,28/2/2023,30,20,50,0,2770,2532.74808
RA4,28/2/2023,2060,200,"2,260",1485,2795,2462.47473
RXM,28/2/2023,95,0,95,0,3028,2662.98333
RXX,28/2/2023,110,0,110,0,3192,2904.83536
TAD,28/2/2023,50,NULL,50,0,3234,2871.34396
RBD,28/2/2023,1875,180,"2,055",2345,3289,2887.886
RY6,28/2/2023,0,0,-,0,3289,2837.37463
RV9,28/2/2023,90,35,125,0,3314,2944.3001
RVY,28/2/2023,2260,165,"2,425",1705,3427,3016.76905
RBV,28/2/2023,575,345,920,1180,3454,3188.4132
RCF,28/2/2023,2535,155,"2,690",2710,3577,3084.30337
RAS,28/2/2023,2800,280,"3,080",1930,3591,3278.77372
RAX,28/2/2023,4015,215,"4,230",1820,3703,3378.92971
RLQ,28/2/2023,2320,225,"2,545",2560,3739,3206.45833
RXE,28/2/2023,35,115,150,0,3749,3254.84097
RQW,28/2/2023,2785,250,"3,035",1900,3796,3459.35872
RAP,28/2/2023,2390,125,"2,515",2850,3806,3534.78606
RCX,28/2/2023,3360,245,"3,605",2380,3854,3391.35524
RCU,28/2/2023,500,335,835,1225,3910,3291.22005
RD8,28/2/2023,4630,290,"4,920",2490,3993,3504.24245
R1F,28/2/2023,1435,115,"1,550",1590,4000,3600.61578
RNZ,28/2/2023,2320,275,"2,595",1775,4004,3509.05381
RGP,28/2/2023,2225,310,"2,535",2555,4103,3563.56168
RQX,28/2/2023,3510,155,"3,665",1960,4111,3744.17984
RN7,28/2/2023,3805,580,"4,385",3270,4187,3754.98101
RFS,28/2/2023,4225,320,"4,545",2260,4220,3603.89955
R1C,28/2/2023,100,0,100,0,4242,3555.0462
RBS,28/2/2023,1210,370,"1,580",1640,4256,3796.37064
RFF,28/2/2023,3635,265,"3,900",2285,4257,3690.74974
RJ6,28/2/2023,2140,240,"2,380",2295,4277,3944.8735
RMP,28/2/2023,3305,175,"3,480",1315,4327,3780.53889
RY8,28/2/2023,85,30,115,150,4437,3620.26259
RPG,28/2/2023,55,30,85,0,4460,4041.1848
RPY,28/2/2023,165,565,730,5705,4463,4157.80092
RWW,28/2/2023,3080,255,"3,335",2055,4470,3898.69644
R1A,28/2/2023,260,135,395,0,4553,3785.99834
RJ8,28/2/2023,220,150,370,0,4563,3897.72883
RTK,28/2/2023,4700,455,"5,155",3305,4572,4164.36609
RKE,28/2/2023,1575,235,"1,810",1780,4628,4227.86839
RVN,28/2/2023,45,70,115,0,4674,4025.29151
RXG,28/2/2023,115,0,115,0,4675,4164.90903
RP1,28/2/2023,NULL,NULL,-,0,4726,4135.8586
RNQ,28/2/2023,3620,325,"3,945",3345,4759,4211.04023
RJR,28/2/2023,3025,255,"3,280",2300,4823,4270.60716
RFR,28/2/2023,3460,415,"3,875",2265,4824,4063.90372
RA2,28/2/2023,3850,580,"4,430",2355,4832,4320.85483
RPA,28/2/2023,3895,345,"4,240",1960,4844,4426.20407
RWX,28/2/2023,30,50,80,0,4855,4244.44418
RBK,28/2/2023,4915,365,"5,280",2430,4966,4309.47993
RYW,28/2/2023,500,0,500,0,4978,4277.72475
RTP,28/2/2023,5035,365,"5,400",3460,5003,4473.59153
RCD,28/2/2023,2045,205,"2,250",2360,5018,4229.5944
RGR,28/2/2023,3065,285,"3,350",2135,5030,4368.32181
RJC,28/2/2023,3045,270,"3,315",2835,5182,4455.4448
RR7,28/2/2023,2705,250,"2,955",2345,5204,4617.82886
RYY,28/2/2023,195,0,195,0,5204,4435.70513
RDR,28/2/2023,275,0,275,0,5325,4372.29793
RWG,28/2/2023,4430,460,"4,890",2485,5374,4878.46392
RN3,28/2/2023,3805,505,"4,310",2985,5462,4760.65071
RBT,28/2/2023,3990,215,"4,205",2030,5472,4677.68489
RP4,28/2/2023,210,910,"1,120",2430,5517,5127.74791
