Org_Code,Effective_Snapshot_Date,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,AandE_Attends_Type1
RPC,44985,495,215,710,950,1104,935.2,
RRJ,44985,20,520,540,565,1236,1099.11,
RY9,44985,40,0,40,0,1287,1091.21,
RY2,44985,0,0,,0,1492,1248.99,
RET,44985,165,275,440,915,1554,1410.02,
RA2,44985,3850,580,4430,2355,4832,4320.85,5827
R1D,44985,105,,105,40,1586,1280.18,
RAN,44985,35,455,490,760,1619,1492.91,
RL1,44985,50,515,565,455,1646,1396.37,
RAE,44985,6585,425,7010,3610,6467,5707.94,9286
REN,44985,110,75,185,265,1765,1629,
REP,44985,2335,110,2445,465,1765,1570.74,
RLY,44985,35,65,100,,1828,1623.7,
RAP,44985,2390,125,2515,2850,3806,3534.79,8219
RBQ,44985,395,330,725,360,1942,1787.69,
RAS,44985,2800,280,3080,1930,3591,3278.77,5754
RGM,44985,360,490,850,815,2000,1856.07,
RAX,44985,4015,215,4230,1820,3703,3378.93,6383
RP6,44985,200,85,285,2850,2356,2133.23,
RBD,44985,1875,180,2055,2345,3289,2887.89,3757
RY4,44985,0,80,80,0,2377,1935.53,
RBK,44985,4915,365,5280,2430,4966,4309.48,6941
RY5,44985,60,50,110,0,2383,2056.98,
RBL,44985,4465,590,5055,3860,6770,5733.76,6989
RY3,44985,135,65,200,0,2445,2131.35,
RJN,44985,910,95,1005,880,2663,2249.85,3590
RBT,44985,3990,215,4205,2030,5472,4677.68,6082
RLT,44985,2220,225,2445,1545,2768,2408.9,5497
RQY,44985,30,20,50,0,2770,2532.75,
RCD,44985,2045,205,2250,2360,5018,4229.59,3979
RA4,44985,2060,200,2260,1485,2795,2462.47,
RCF,44985,2535,155,2690,2710,3577,3084.3,4925
RXM,44985,95,0,95,0,3028,2662.98,
RCX,44985,3360,245,3605,2380,3854,3391.36,6401
RXX,44985,110,0,110,0,3192,2904.84,
RD1,44985,4435,350,4785,2775,6274,5414.43,7191
TAD,44985,50,,50,0,3234,2871.34,
RD8,44985,4630,290,4920,2490,3993,3504.24,7401
RY6,44985,0,0,,0,3289,2837.37,
RV9,44985,90,35,125,0,3314,2944.3,
RVY,44985,2260,165,2425,1705,3427,3016.77,6689
RBV,44985,575,345,920,1180,3454,3188.41,
RFF,44985,3635,265,3900,2285,4257,3690.75,7405
RFS,44985,4225,320,4545,2260,4220,3603.9,5082
RGP,44985,2225,310,2535,2555,4103,3563.56,5785
RLQ,44985,2320,225,2545,2560,3739,3206.46,5234
RXE,44985,35,115,150,0,3749,3254.84,
RQW,44985,2785,250,3035,1900,3796,3459.36,9229
RHW,44985,5130,600,5730,3405,6105,5493.19,11099
RCU,44985,500,335,835,1225,3910,3291.22,
R1F,44985,1435,115,1550,1590,4000,3600.62,
RJ6,44985,2140,240,2380,2295,4277,3944.87,11489
RNZ,44985,2320,275,2595,1775,4004,3509.05,3780
RJC,44985,3045,270,3315,2835,5182,4455.44,6449
RQX,44985,3510,155,3665,1960,4111,3744.18,9576
RN7,44985,3805,580,4385,3270,4187,3754.98,10233
RJL,44985,5290,455,5745,4435,6834,5806.5,11697
R1C,44985,100,0,100,0,4242,3555.05,
RJR,44985,3025,255,3280,2300,4823,4270.61,5887
RBS,44985,1210,370,1580,1640,4256,3796.37,
RK5,44985,4590,340,4930,3435,5755,4956.72,8963
RMP,44985,3305,175,3480,1315,4327,3780.54,7247
RKE,44985,1575,235,1810,1780,4628,4227.87,7891
RY8,44985,85,30,115,150,4437,3620.26,
RPG,44985,55,30,85,0,4460,4041.18,
RPY,44985,165,565,730,5705,4463,4157.8,
RWW,44985,3080,255,3335,2055,4470,3898.7,6303
R1A,44985,260,135,395,0,4553,3786,
RJ8,44985,220,150,370,0,4563,3897.73,
RMC,44985,4125,330,4455,1995,6680,5820.29,7637
RTK,44985,4700,455,5155,3305,4572,4164.37,8216
RN3,44985,3805,505,4310,2985,5462,4760.65,4474
RVN,44985,45,70,115,0,4674,4025.29,
RXG,44985,115,0,115,0,4675,4164.91,
RP1,44985,,,,0,4726,4135.86,
RNA,44985,4980,405,5385,3470,5947,5289.09,8692
RNQ,44985,3620,325,3945,3345,4759,4211.04,
RNS,44985,5670,605,6275,3710,5661,5020.56,7977
RFR,44985,3460,415,3875,2265,4824,4063.9,
RP5,44985,4455,760,5215,4455,6937,5855.2,11215
RPA,44985,3895,345,4240,1960,4844,4426.2,7314
RWX,44985,30,50,80,0,4855,4244.44,
RYW,44985,500,0,500,0,4978,4277.72,
RR7,44985,2705,250,2955,2345,5204,4617.83,5255
RTP,44985,5035,365,5400,3460,5003,4473.59,8010
RGR,44985,3065,285,3350,2135,5030,4368.32,
RYY,44985,195,0,195,0,5204,4435.71,
RDR,44985,275,0,275,0,5325,4372.3,
RWG,44985,4430,460,4890,2485,5374,4878.46,7076
RP4,44985,210,910,1120,2430,5517,5127.75,
RVW,44985,4310,455,4765,2860,5761,4932.17,
RX2,44985,,,,0,5845,5171.57,
RVR,44985,2740,600,3340,2990,6938,6192.4,11411
RT5,44985,255,,255,0,6051,5296.76,
RQ3,44985,2265,560,2825,1805,6105,5440.34,
RWJ,44985,3830,375,4205,2590,6152,5354.73,7981
R1L,44985,155,,155,0,6259,5511.08,
