Provider Group Level based on AandE Type 1,Provider Code,Metrices Type,Metric,Label,SD away from Hospital Average,SD away from National Average
Bet Bottom & Top,R0A,Monthly,AandE_Attends_Type1,M1,-0.19,3.09
Bet Bottom & Top,R0A,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.15,2.07
Bet Bottom & Top,R0A,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.5,3.69
Bet Bottom & Top,R0A,Monthly,Emerg_Adms_Via_Type1,M4,-1.64,1.42
Bet Bottom & Top,R0A,Monthly,Emerg_Adms_Not_Via_AandE,M5,-0.76,-0.57
Bet Bottom & Top,R0A,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.87,3.54
Bet Bottom & Top,R0A,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.58,-0.66
Bet Bottom & Top,RAJ,Monthly,AandE_Attends_Type1,M1,0.86,3.89
Bet Bottom & Top,RAJ,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.3,4.31
Bet Bottom & Top,RAJ,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.81,2.77
Bet Bottom & Top,RAJ,Monthly,Emerg_Adms_Via_Type1,M4,-0.02,3.23
Bet Bottom & Top,RAJ,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.95,0.16
Bet Bottom & Top,RAJ,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.52,3.21
Bet Bottom & Top,RAJ,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.3,-0.87
Bet Bottom & Top,R0B,Monthly,AandE_Attends_Type1,M1,0.11,0.23
Bet Bottom & Top,R0B,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.09,0.19
Bet Bottom & Top,R0B,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.16,0.23
